Time,Level,Noise,Frequency,Bandwidth
19:49.9,-21.96,-41.63,103300,16000
19:50.0,-20.78,-41.64,103300,16000
19:50.0,-20.12,-41.59,103300,16000
19:50.1,-21.36,-41.62,103300,16000
19:50.1,-21.76,-41.58,103300,16000
19:50.1,-19.42,-41.56,103300,16000
19:50.2,-21.92,-41.58,103300,16000
19:50.3,-22.04,-41.58,103300,16000
19:50.3,-19.27,-41.6,103300,16000
19:50.3,-20.34,-41.6,103300,16000
19:50.4,-21.3,-41.56,103300,16000
19:50.4,-23.76,-41.54,103300,16000
19:50.5,-22.46,-41.56,103300,16000
19:50.6,-21.64,-41.59,103300,16000
19:50.6,-22.77,-41.59,103300,16000
19:50.7,-22.1,-41.6,103300,16000
19:50.7,-22.4,-41.58,103300,16000
19:50.8,-20.67,-41.59,103300,16000
19:50.8,-23.45,-41.63,103300,16000
19:50.9,-18.72,-41.64,103300,16000
19:50.9,-19.95,-41.59,103300,16000
19:50.9,-18.56,-41.57,103300,16000
19:51.0,-21.35,-41.56,103300,16000
19:51.1,-20.8,-41.56,103300,16000
19:51.1,-21.59,-41.56,103300,16000
19:51.2,-21.67,-41.55,103300,16000
19:51.2,-19.6,-41.56,103300,16000
19:51.3,-21.9,-41.59,103300,16000
19:51.3,-21.32,-41.57,103300,16000
19:51.4,-21.13,-41.57,103300,16000
19:51.4,-20.4,-41.59,103300,16000
19:51.4,-21.95,-41.56,103300,16000
19:51.5,-19.89,-41.54,103300,16000
19:51.5,-21.58,-41.5,103300,16000
19:51.6,-17.72,-41.46,103300,16000
19:51.7,-21.85,-41.45,103300,16000
19:51.7,-20.08,-41.46,103300,16000
19:51.8,-19.94,-41.46,103300,16000
19:51.8,-21.12,-41.42,103300,16000
19:51.8,-20.94,-41.41,103300,16000
19:51.9,-21.49,-41.42,103300,16000
19:52.0,-21.02,-41.47,103300,16000
19:52.0,-22.86,-41.55,103300,16000
19:52.1,-20.56,-41.57,103300,16000
19:52.1,-19,-41.59,103300,16000
19:52.2,-22.07,-41.61,103300,16000
19:52.2,-20.23,-41.62,103300,16000
19:52.3,-21.46,-41.58,103300,16000
19:52.3,-22.02,-41.58,103300,16000
19:52.4,-21.97,-41.65,103300,16000
19:52.4,-22.24,-41.67,103300,16000
19:52.5,-20.53,-41.71,103300,16000
19:52.5,-22.33,-41.68,103300,16000
19:52.6,-22.41,-41.7,103300,16000
19:52.6,-22.15,-41.73,103300,16000
19:52.7,-23.12,-41.8,103300,16000
19:52.7,-21.46,-41.82,103300,16000
19:52.7,-20.2,-41.82,103300,16000
19:52.8,-21.36,-41.8,103300,16000
19:52.9,-20.15,-41.77,103300,16000
19:52.9,-21.89,-41.77,103300,16000
19:52.9,-21.45,-41.77,103300,16000
19:53.0,-21.97,-41.67,103300,16000
19:53.1,-22.39,-41.66,103300,16000
19:53.1,-21.25,-41.68,103300,16000
19:53.1,-21.82,-41.69,103300,16000
19:53.2,-18.64,-41.66,103300,16000
19:53.2,-20.45,-41.67,103300,16000
19:53.3,-21.77,-41.7,103300,16000
19:53.4,-21.65,-41.68,103300,16000
19:53.4,-21.82,-41.68,103300,16000
19:53.5,-20.87,-41.65,103300,16000
19:53.5,-22.82,-41.65,103300,16000
19:53.6,-20.28,-41.67,103300,16000
19:53.6,-23.02,-41.68,103300,16000
19:53.7,-21.16,-41.65,103300,16000
19:53.7,-20.2,-41.62,103300,16000
19:53.8,-19.96,-41.61,103300,16000
19:53.8,-22.97,-41.6,103300,16000
19:53.9,-20.78,-41.65,103300,16000
19:53.9,-21.52,-41.66,103300,16000
19:54.0,-22.29,-41.69,103300,16000
19:54.0,-21.85,-41.69,103300,16000
19:54.1,-20.53,-41.71,103300,16000
19:54.1,-20.82,-41.68,103300,16000
19:54.2,-20.97,-41.68,103300,16000
19:54.2,-22.09,-41.68,103300,16000
19:54.2,-21.6,-41.71,103300,16000
19:54.3,-21.45,-41.66,103300,16000
19:54.3,-22.18,-41.65,103300,16000
19:54.4,-21.85,-41.64,103300,16000
19:54.4,-23.87,-41.69,103300,16000
19:54.5,-22.42,-41.76,103300,16000
19:54.6,-21.99,-41.74,103300,16000
19:54.6,-21.29,-41.72,103300,16000
19:54.7,-22.37,-41.71,103300,16000
19:54.7,-21.92,-41.7,103300,16000
19:54.8,-20.79,-41.71,103300,16000
19:54.8,-20.09,-41.71,103300,16000
19:54.8,-22.71,-41.67,103300,16000
19:54.9,-22.55,-41.66,103300,16000
19:55.0,-22.21,-41.67,103300,16000
19:55.0,-21.97,-41.67,103300,16000
19:55.1,-22.57,-41.66,103300,16000
19:55.1,-23.3,-41.68,103300,16000
19:55.2,-20.42,-41.7,103300,16000
19:55.2,-22.45,-41.69,103300,16000
19:55.3,-21.14,-41.66,103300,16000
19:55.3,-21.47,-41.66,103300,16000
19:55.4,-20.79,-41.71,103300,16000
